Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Outdoor CO2 Dummy,OccSim_DummyOccSch,ZONE 1:Zone Mean Air Temperature [C](TimeStep),ZONE 2:Zone Mean Air Temperature [C](TimeStep),ZONE 3:Zone Mean Air Temperature [C](TimeStep),ZONE 4:Zone Mean Air Temperature [C](TimeStep),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 2:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 3:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 4:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](TimeStep),ZONE 1:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 2:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 3:Zone Air CO2 Concentration [ppm](TimeStep),ZONE 4:Zone Air CO2 Concentration [ppm](TimeStep) 
 08/08  02:30:00,24.7,0.018096141,386.7162054,0,19.65761421,20.4806114,20.25852356,20.92348447,0.007977543,0.00797763,0.007973445,0.007973598,387.8305516,387.7901526,386.6349492,386.6283378
 08/08  02:40:00,24.6,0.018119302,383.7160605,0,19.60863744,20.43387321,20.21155127,20.87397219,0.007964865,0.007964906,0.007961384,0.007961487,387.2989406,387.2635033,386.2898275,386.28353
 08/08  02:50:00,24.5,0.018141443,381.7159157,0,19.55848116,20.38581813,20.16393445,20.82421102,0.007946805,0.007946792,0.007943832,0.007943882,386.6028894,386.5712138,385.7506874,385.7442645
 08/08  03:00:00,24.4,0.018162572,381.7157708,0,19.50771634,20.33665356,20.11574451,20.77422481,0.007924342,0.007924273,0.007921788,0.007921785,385.8699724,385.8413635,385.1499892,385.1433324
 08/08  03:10:00,24.21666667,0.018155004,386.715626,0,19.44960066,20.28463935,20.06587997,20.72324137,0.007886107,0.007885948,0.007883873,0.007883791,385.6311284,385.6063863,385.0236947,385.017816
 08/08  03:20:00,24.03333333,0.018145082,386.7154811,0,19.38286987,20.22890879,20.0137309,20.67080726,0.007826934,0.007826643,0.007824921,0.007824731,385.7064285,385.6857903,385.1946116,385.1900189
 08/08  03:30:00,23.85,0.018132854,389.7153363,0,19.31001584,20.16949235,19.95921351,20.6168181,0.007747761,0.007747303,0.007745888,0.007745565,386.1319008,386.1156706,385.7015128,385.6987018
 08/08  03:40:00,23.66666667,0.018118364,381.7151915,0,19.23382384,20.10679597,19.90247939,20.5613305,0.00765197,0.007651323,0.007650173,0.007649703,385.9901532,385.9761059,385.6271467,385.6246477
 08/08  03:50:00,23.48333333,0.018101658,382.7150467,0,19.15596125,20.04126395,19.843723,20.50443611,0.00754306,0.007542213,0.007541291,0.007540669,385.5573087,385.5442669,385.2504103,385.247522
 08/08  04:00:00,23.3,0.018082781,383.714902,0,19.07710381,19.97326651,19.78311373,20.44621627,0.007423891,0.007422843,0.007422114,0.007421343,385.1716103,385.1595265,384.9121027,384.9089521
 08/08  04:10:00,23.3,0.018082781,386.7147572,0,19.01038991,19.90662518,19.72294265,20.38820145,0.007318654,0.007317475,0.007316901,0.007316031,385.1508234,385.1405733,384.932126,384.9295038
 08/08  04:20:00,23.3,0.018082781,388.7146124,0,18.95835756,19.84342301,19.6645386,20.33130748,0.007239748,0.007238533,0.007238077,0.007237181,385.5069533,385.4993167,385.3235546,385.3221681
 08/08  04:30:00,23.3,0.018082781,386.7144677,0,18.91648311,19.78399272,19.60822088,20.27578878,0.007188106,0.00718694,0.007186574,0.007185712,385.8207063,385.815165,385.6669425,385.66651
 08/08  04:40:00,23.3,0.018082781,383.714323,0,18.87970185,19.72791053,19.55385188,20.22159403,0.007159878,0.007158821,0.007158521,0.007157738,385.7644927,385.7597026,385.6348056,385.6343856
 08/08  04:50:00,23.3,0.018082781,383.7141782,0,18.84501994,19.67463644,19.5012006,20.16860275,0.007150665,0.007149751,0.007149502,0.007148824,385.5047929,385.5000677,385.394894,385.3940313
